target	sms	sms_length	kfold
True	probably money worries things coming due several outstanding invoices work two three months ago	95	0
True	noe send files computers	24	0
True	get pic msgs phone	18	0
True	great princess thinking	23	0
True	actor work work evening sleep late since unemployed moment always sleep late youre unemployed every day saturday	112	0
False	id like tell deepest darkest fantasies call stop texts call nat rate	68	0
True	dun need use dial juz open da browser n surf	44	0
True	nope watching tv home going v bored	35	0
True	pack buy storelike cereals must pack food pack gari something miss	66	0
True	looks like found something smoke great job	42	0
True	yes completely formclark also utter waste	41	0
False	todays voda numbers ending selected receive â£ reward match please call quoting claim code standard rates apply	111	0
True	please da call mistake side sorry da pls da goto doctor	55	0
True	download clear movies dvd copies	32	0
True	bad girl lady	13	0
True	jus finished avatar nigro	25	0
True	didnt get second half message	29	0
True	creep	5	0
True	hey cutie goes wales kinda ok like hills shit still avent killed	64	0
True	house e sky quite dark liao raining got excuse run already rite hee	67	0
True	ok problem get taxi c ing tomorrow tuesday tuesday think r going cinema	71	0
False	xmas iscoming awarded either â£ cd gift vouchers free entry r â£ weekly draw txt music tnc	90	0
True	texted finished long time ago showered erything	47	0
True	save stress person dorm account send account details money sent	63	0
True	happy babe woo hoo party dude	29	0
True	ok sure time finish tomorrow wanna spend evening cos would vewy vewy lubly love xxx	83	0
True	alright set text man	20	0
True	haha heard text youre around	28	0
True	think move ltgt week	20	0
True	reaching home min	17	0
True	nope c ã¼	9	0
True	fear fainting housework quick cuppa	35	0
True	nah cant help ive never iphone	30	0
True	met stranger choose friend long world stands friendship never ends lets friends forever gud nitz	96	0
True	well pay like ltgt yrs difficult	32	0
True	ill text creepy like wont think forgot	38	0
True	gas station like block away house youll drive right since armenia ends swann take howard	88	0
True	hmm many unfortunately pics obviously arent hot cakes kinda fun tho	67	0
True	dunno juz askin cos got card got salon called hair sense tot da one ã¼ cut hair	79	0
True	work going min	14	0
True	got tallent wasting	19	0
True	evening v good somewhat event laden fill worry â€¦ head ok throat wrecked see six	81	0
True	leaving house	13	0
True	tirupur da started office call	30	0
False	todays offer claim â£ worth discount vouchers text yes savamob member offers mobile cs â£ sub unsub reply x	107	0
True	eldest know	11	0
False	records indicate maybe entitled pounds compensation accident claim free reply claim msg stop txt stop	101	0
True	tessypls favor pls convey birthday wishes nimyapls dnt forget today birthday shijas	83	0
True	long time remember today	24	0
True	tell shola please go college medicine visit academic department tell academic secretary current situation ask transfer ask someone check sagamu thing lautech vital completes medical education nigeria less expensive much less expensive unless getting citizen rates new zealand	275	0
True	k need login anything	21	0
True	todaysundaysunday holidayso work	32	0
True	call	4	0
True	shes borderline yeah whatever	29	0
True	well theres still bit left guys want tonight	44	0
True	yes obviously eggspert potato headâ€¦ speak soon	48	0
True	ok	2	0
True	wat would like birthday	23	0
True	ugh gotta drive back sd la butt sore	36	0
True	hi dear call urgnt know whats problem want work problem least tell wating reply	79	0
True	ltgt think say syllabus	23	0
True	kindly send one flat ltdecimalgt today	38	0
True	yup	3	0
True	nowadays people notixiquating laxinorficated opportunity bambling entropication ever oblisingately opted books masteriastering amplikater fidalfication champlaxigating think atrocious wotz opinion junna	202	0
True	whens radio show	16	0
True	pls clarify back open return ticket preponed go back kerala	59	0
False	contract mobile mnths latest motorola nokia etc free double mins text orange tariffs text yes callback remove records	117	0
True	hello boytoy made home constant thought love hope nice visit cant wait till come home kiss	90	0
True	yeah thats thought lemme know anythings goin later	50	0
True	probably wont eat today think gonna pop weekend miss	52	0
True	got another job one hospital data analysis something starts monday sure thesis got finished	91	0
True	cool text youre parked	22	0
True	hi kate evening hope see tomorrow bit bloody babyjontet txt back xxx	68	0
True	plans family set stone	22	0
True	eat jap done oso aft lect wat ãœ got lect rite	46	0
False	hungry gay guys feeling hungry call stop texts call	51	0
True	today system sh get readyall well also deep well	48	0
True	clothes jewelry trips	21	0
True	congratulations ore mo owo wa enjoy wish many happy moments fro wherever go	75	0
False	sunshine quiz win super sony dvd recorder canname capital australia text mquiz b	80	0
True	sorry pain ok meet another night spent late afternoon casualty means havent done includes time sheets sorry	107	0
True	sorry battery died come getting gram wheres place	49	0
True	send yettys number pls	22	0
True	thinked first time saw class	28	0
False	hi sue years old work lapdancer love sex text live bedroom text sue textoperator	80	0
True	think wrong number	18	0
True	b late love mum	15	0
True	hope youve settled new school year wishin day	45	0
True	k want us come	14	0
True	wait minstand bus stop	22	0
True	ãœ dun need pick gf	19	0
True	awesome ill see bit	19	0
True	lay man let know missed thought great day send bimbo ugos numbers ill appreciate safe	85	0
True	fix teethif asapok take care	28	0
True	doubt could handle times per night case	39	0
True	good friends care close friends understand true friends stay forever beyond words beyond time gud	97	0
True	gumbys special ltgt cheese pizza know tonight	45	0
False	think smart win â£ week weekly quiz text play nowtcs winnersclub po box	71	0
True	thats cool want please	22	0
True	rose needs water season needs change poet needs imaginationmy phone needs sms need lovely frndship forever	106	0
True	r home come within min	22	0
True	honeybee said sweetest world god laughed amp said waitu havnt met person reading msg moral even god crack jokes gmgngegn	120	0
True	noits ful song lyrics	21	0
True	finished missing plenty	23	0
True	sorry da thangamits mistake	27	0
False	double mins double txt price linerental latest orange bluetooth mobiles call latest offers	90	0
False	urgent mobile number awarded â£ prize guaranteed call land line claim valid	75	0
True	convey regards	14	0
True	stop story ive told ive returned hes saying order	49	0
False	new voicemail please call	25	0
True	great hear settling well whats happenin wit ola	47	0
False	win meetgreet westlife currently tour text cost std text	56	0
True	check errors difficulties correction	36	0
True	ride equally uneventful many pesky cyclists around time night	61	0
True	ã¼ come n pick ar	17	0
True	going write ccna exam week	26	0
True	eat fo lunch senor	18	0
True	sun cant come earth send luv rays cloud cant come river send luv rain cant come meet send care msg gud evng	107	0
False	heard call rude chat private line cum wan pics gettin shagged text pix send stop sam xxx	88	0
True	could read love answered	24	0
True	anyway going shopping cos sis done yet dun disturb liao	55	0
True	reach home ltgt minutes	23	0
True	got persons story	17	0
True	yes last practice	17	0
True	yeah thats fine â£ get ok	25	0
True	exam february wish great day	28	0
True	thats good need drugs	21	0
True	aight ive set free think could text blakes address occurs quite sure thought	76	0
False	dear uve invited xchat final attempt contact txt chat	53	0
True	run away frm walk slowly amp kills care enough stop	51	0
True	sea lays rock rock envelope envelope paper paper words	54	0
True	talk	4	0
True	going college pa else ill come self pa	38	0
True	k sent	6	0
True	k ill	5	0
True	see message r leaving congrats dear school wat r plans	54	0
True	height confidence aeronautics professors wer calld amp wer askd sit aeroplane aftr sat wer told dat plane ws made students dey hurried plane bt didnt move saidif made studentsthis wont even start datz confidence	211	0
True	da intro covers energy trends n pros n cons brief description nuclear fusion n oso brief history iter n jet got abt n half pages	128	0
True	reverse cheating mathematics	28	0
True	sorry de went shop	18	0
True	cramps stopped going back sleep	31	0
True	kkgoodstudy well	16	0
True	fine thatâ’s way feel thatâ’s way gota b	40	0
True	yes chatting	12	0
True	ok ill send ltdecimalgt ok	26	0
True	ã¼ noe ben going	16	0
True	hiya hows going sunny africa hope r avin good time give big old silver back big kiss	84	0
True	think rule tamilnaduthen tough people	37	0
True	ã¼ b going esplanade fr home	28	0
False	freemsg hi baby wow got new cam moby wanna c hot pic fancy chatim rply chat hlp	79	0
True	also track lighters find	24	0
True	sorry ill call later	20	0
True	hiwhat think match	18	0
False	nokia get win free auction take part send nokia	47	0
False	want xmas free text messages new video phone half price line rental call free find	82	0
True	haha good hear officially paid market	37	0
True	geeeee internet really bad today eh	35	0
True	ask g iouri ive told story like ten times already	49	0
False	hi customer loyalty offerthe new mobile â£ txtauction txt word start get tc	75	0
True	house water dock boat rolled newscaster dabbles jazz flute behind wheel	71	0
True	knowwait check	14	0
True	try making another butt	23	0
True	dad went oredi	14	0
True	send someone else	17	0
True	hey doc pls want get nice shirt hubby nice fiting ones budget ltgt k help pls load card abi hwkeep posted luv mj	112	0
True	okie	4	0
True	promises though havent even gotten dinner yet	45	0
True	whats significance	18	0
True	jus ans lar ull noe later	25	0
True	driving training	16	0
True	actually first time went bed long spoke woke night	50	0
True	cool breeze bright sun fresh flower twittering birds waiting wish goodmorning amp nice day	90	0
True	whenre guys getting back g said thinking staying mcr	52	0
True	yunny goin late	15	0
True	lara said loan ltgt	19	0
True	watching lotr w sis dis aft wan meet dinner nite	48	0
True	spoke uncle john today strongly feels need sacrifice keep hes going call beg listen make promises make clear things easy need please let us work things long keep expecting help creativity stifled pls keep happy promises part	224	0
True	made day great day	18	0
True	okay booked already including one bugis	39	0
True	party alex nichols	18	0
True	going lunch	11	0
True	gentle baby soon taking ltgt inches deep inside tight pussy	59	0
True	ok lor wan go look	18	0
True	oh fucks sake shes like tallahassee	35	0
True	allo braved buses taken trains triumphed mean weâ€˜re bâ€˜ham jolly good rest week	82	0
False	cash prize claim tc rstm	24	0
True	hey das cool iknow wellda peril studentfinancial crisisspk	58	0
False	chance win â£ wkly shopping spree txt shop tscs custcare	56	0
True	good afternon love today hope good maybe interviews wake miss babe passionate kiss across sea	93	0
True	ok	2	0
True	whats want come online	22	0
True	hi dear saw dear happy battery low	34	0
True	send number give reply tomorrow morning said like ok	52	0
False	secret admirer looking make contact ufind rreveal thinks specialcall	68	0
True	cool time think get	19	0
True	unni thank dear rechargerakhesh	31	0
True	yes princess going make moan	28	0
True	go jurong point crazy available bugis n great world la e buffet cine got amore wat	82	0
True	thats v romantic	16	0
True	room need	9	0
True	problem spending lot quality time together	42	0
True	come din c ã¼ yup cut hair	26	0
True	ok lor ned go toa payoh return smth wan send wat	48	0
True	tell friends plan valentines day lturlgt	40	0
True	started skye	12	0
True	meet ã¼ depends ã¼ wan lor	26	0
True	enufcredeit tocallshall ileave uni get bus yor house	52	0
True	pls wont belive godnot jesus	28	0
False	message important information user today lucky day find log onto fantastic surprise awaiting	92	0
True	hurry home soup done	20	0
True	kay since already	17	0
True	cant pick phone right pls send message	38	0
True	let know need anything else salad desert something many beers shall get	71	0
False	shop till drop either â£ cash â£ travel voucher call ntt po box fixedline cost mobile vary	90	0
True	meant calculation ltgt units ltgt school really expensive started practicing accent important decided dental school youll nmde exam	131	0
True	buy pizza meat lovers supreme get pick	38	0
True	r outside already	17	0
True	blank blank wat blank lol	25	0
False	new mobiles must go txt nokia collect todayfrom â£	50	0
True	ok would b lovely r sure think wot want drinkin dancin eatin cinema wot	71	0
True	de looking good	15	0
True	lol mad first woke gave	23	0
True	forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol	87	0
True	yeah got list joanna feeling really anti social	47	0
True	yesfrom last week taking live call	34	0
False	december mobile entitled update latest colour camera mobile free call mobile update vco free	92	0
True	love holiday monday feeling even go dentists hour	49	0
True	officewhats mattermsg nowi call break	37	0
True	know thinkin malaria relax children cant handle malaria would worse gastroenteritis takes enough replace loss temp reduce give malaria meds vomit self limiting illness means days completely stop	194	0
True	yay better told girls either	28	0
True	hi spoke maneesha v wed like know satisfied experience reply toll free yes	74	0
True	yup hey one day fri ask miwa jiayin take leave go karaoke	57	0
True	ok prob take time	17	0
True	say somebody named tampa	24	0
True	eat old airport road oredi got lot pple	39	0
True	love brother time talk english grins say hey muhommad penny says hello across sea	81	0
True	storming msg wen lift phne say hello knw wt real meaning hello name girl yes knw dat girl margaret hello girlfrnd f grahmbell invnted telphone moralone name person bt girlfrnd g n g h	183	0
True	liked new mobile	16	0
True	hi email address changed	24	0
True	sleepingand surfing	19	0
True	september	9	0
True	friendship poem dear dear r near hear get fear live cheer tear r always dear gud	80	0
True	oh ki think wi nz players unsold	32	0
True	love one law make happy person love way friendship one law never make friend feel alone alive gud night	103	0
True	sorry completely forgot pop em round week still	47	0
True	mathews tait edwards anderson	29	0
True	got lots hair dresser fr china	30	0
False	tried contact offer new video phone anytime network mins half price rental camcorder call reply delivery wed	108	0
True	hello going village pub either come accordingly ok	50	0
True	told number gautham	19	0
True	chile please ltdecimalgt hour drive come time subletting febapril audition season	81	0
True	wonder youll get text	21	0
True	yo yo yo byatch whassup	23	0
True	finally match heading towards draw prediction	45	0
True	knw pa drink milk	17	0
True	guys asking get slippers gone last year	39	0
True	okie thanx	10	0
True	actual exam harder nbme	23	0
True	tmr ã¼ brin lar aiya later come n c lar mayb ã¼ neva set properly ã¼ got da help sheet wif ã¼	93	0
True	superior telling friday leave department except oursso leave youany way call waheed fathima hr conform	102	0
False	mobile months r entitled update latest colour mobiles camera free call mobile update co free	92	0
True	asking knw nt may frnds classmates	34	0
True	yo around got car back	22	0
False	freeringtone reply real poly eg pushbutton dontcha babygoodbye golddigger webeburnin tone free join â£	102	0
True	zoe hit fucking shitin il defo try hardest cum luv millions lekdog	66	0
True	hey babe hows going ever figure going new years	47	0
True	ill late	8	0
True	means february april ill getting place stay hustle back forth audition season since sister moved away harlem	108	0
True	japanese proverb one none itu must indian version one let none itleave finally kerala version one stop none make strike	119	0
True	well thats nice bad cant eat	28	0
True	daddy shu shu looking wan tell singapore wat	44	0
True	agree stop thinkin ipad please ask macho question	49	0
True	leaving house	13	0
True	ugh wanna get bed warm	22	0
True	home also	9	0
True	know result	11	0
True	aight fuck ill get later	24	0
True	kkwhere youhow performed	24	0
True	sometimes put walls around heartsnot safe getting hurt find cares enough break walls amp get closer goodnoon	108	0
True	sorry dai thought calling lot timeslil busyi call noon	54	0
True	luton ring around h	19	0
False	win year supply cds store choice worth â£ enter â£ weekly draw txt music tscs	77	0
True	yeah sure thing mate haunt got stuff sorted going sound anyway promoting hex way know number joke	97	0
True	actually send reminder today wonderful weekend	46	0
True	coming gym machan goodnight	27	0
True	lunch alone bored	17	0
True	means could keep words	22	0
False	someone conacted dating service entered phone fancy youto find call landline	76	0
True	cool ill text	13	0
False	lastest stereophonics marley dizzee racal libertines strokes win nookii games flirt click themob wap bookmark text wap	118	0
True	send friends receive something voice speaking expression attitude ltgt irritating ltgt lovable reply	100	0
True	nicenicehow working	19	0
True	want snow freezing windy	24	0
True	alrite jod hows revision goin keris bin smidgin n e way wanna cum collegexx	75	0
True	ok lor buy wat	14	0
False	free week nokia tone mobile every week txt nokia get txting tell mates pobox	76	0
True	phone weirdest auto correct	27	0
True	ok lor ã¼ reaching message	26	0
True	kallis ready bat innings	24	0
True	wishing family merry x mas happy new year advance	49	0
True	oh really perform write paper go movie home midnight huh	56	0
True	sorry bathroom sup	18	0
False	natalja inviting friend reply see stop send stop frnd	53	0
True	donâ€˜t give flying monkeys wot think certainly donâ€˜t mind friend mine	72	0
True	sicomo plaid albumquite gdthe new hilariousalso boughtâ”braindanceâ”a compofstuff aphexâ’s abelu itc sn xxxx	108	0
True	good time nice something bit different weekends change see ya soon	66	0
False	please call immediately urgent message waiting	46	0
True	konw waht rael friendship gving yuo exmpel jsut ese tihs msg evrey splleing tihs msg wrnog bt sitll yuo raed wihtuot ayn mitsake goodnight amp nice sleepsweet dreams	165	0
True	okie scared say fat dun wan already	35	0
True	congrats thats great wanted tell tell score cos might make relax motivating thanks sharing	90	0
True	think might give miss teaching til twelve lecture two damn working thing	72	0
True	slaaaaave must summon time wish come anymore	44	0
True	probably ltgt	13	0
True	didnt get full msgsometext missing send	39	0
False	dear uve invited xchat final attempt contact txt chat ldn	57	0
True	joys father john john joys father ans ths hav ltgt iq tis ias question try answer	81	0
True	good weekend	12	0
False	eerie nokia tones rply tone title eg tone dracula titles ghost addamsfa munsters exorcist twilight	98	0
True	ãœ got wat buy tell us ã¼ need come	35	0
True	beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves goodmorning	103	0
True	ooh gonna start belly dancing moseley weds want join cafe	57	0
True	fighting world easy either win lose bt fightng close dificult lose lose win still lose	86	0
True	okok okthenwhats todays plan	28	0
True	lor ya go dinner together	25	0
True	know need get hotel got invitation apologise cali sweet come english blokes weddin	82	0
True	hey free call	13	0
True	know shes getting messages	26	0
True	sir goodmorning free call	25	0
True	hello site download songs urgent pls	36	0
True	ã¼ go buy wif meet ã¼ later	27	0
True	hostbased idps linux systems	28	0
True	yeah probably sure ilol let know personally wuldnt bother goin mite well	72	0
True	search love let love find thats called falling love bcoz force fall know smeone hold bslvyl	91	0
True	maybe westshore hyde park village place near house	50	0
True	hey late ah meet	16	0
True	late tellmiss way	17	0
True	lol made plans new years	24	0
True	bring home wendy	16	0
True	ummmmmaah many many happy returns day dear sweet heart happy birthday dear	74	0
True	mum ask ã¼ buy food home	24	0
True	good morning love go sleep wish great day full feeling better opportunity last thought babe love kiss	101	0
False	private account statement shows unredeemed bonus points claim call identifier code expires	90	0
True	two cartons pleased shelves	27	0
True	yes princess want make happy	28	0
False	tbspersolvo chasing us since sept forâ£ definitely paying thanks information ignore kath manchester	99	0
True	tired special	13	0
True	howz painit come todaydo said ystrdayice medicine	49	0
True	ever green quote ever told jerry cartoon person irritates always one loves vry much fails express gud nyt	105	0
True	also thk fast xy suggest one dun wan ok going rain leh got gd	61	0
True	jus hope true missin cos really missin havent done anything feel guilty yet	75	0
True	went ganesh dress shop	22	0
True	umma life vava umma love lot dear	33	0
True	got hella gas money want go grand nature adventure galileo little bit	69	0
True	hi test ltgt rd	15	0
True	back good journey let know need receipts shall tell like pendent	64	0
True	way rencontre meet mountains	28	0
True	tell headache want use hour sick time	37	0
True	please reserve ticket saturday eve chennai thirunelvali tirunelvali chennai sunday evei already see netno ticket availablei want book ticket tackle	147	0
True	youre right think	17	0
True	ya referin meis ex wat ah waitin treat somebody shld b rich liaoso gd den dun work frm tmr onwards	98	0
False	mobile update free oranges latest colour camera mobiles unlimited weekend calls call mobile freefone	100	0
True	mum going robinson already	26	0
True	got favorite oyster n got favorite sashimi ok lar dun say already wait stomach start rumbling	93	0
True	thinking going reg pract lessons flung advance haha wat time going	66	0
True	time come tomorrow	18	0
True	lol would mom would fit tell whole family crazy terrible	56	0
True	exactly anyways far jide study visiting	39	0
False	prize go another customer tc polo ltd suite london please call back busy	72	0
True	still looking car buy gone driving test yet	43	0
False	hot live fantasies call per min ntt ltd po box croydon	54	0
True	hello love goes day wish well fine babe hope find job prospects miss boytoy teasing kiss	88	0
True	pain urination thing else	25	0
True	ãœ give time walk	17	0
True	hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob	107	0
True	stupidits possible	18	0
False	wk free tones wk txt nokia classic nokia tones hit polys	56	0
True	going dinnermsg	15	0
True	stalking	8	0
True	call senthil hsbc	17	0
True	paper e morn aft tmr	20	0
True	okie	4	0
True	need ke qi ãœ bored izzit suddenly thk	38	0
True	gd lor go shopping got stuff wan watch infernal affairs come lar	64	0
False	urgent please call landline abta complimentary tenerife holiday cash await collection sae tcs box ppm	101	0
True	yup msg tat yijue tot group mate cos meeting today mah askin ã¼ leaving earlier wat mah cos mayb ã¼ haf walk v far	114	0
True	ho ho big belly laugh see ya tomo	33	0
True	fetch yun fetch	15	0
True	noi got rumour going buy apartment chennai	42	0
False	lost help	9	0
True	seriously tell exact words right	32	0
False	sms services inclusive text credits pls goto login unsubscribe stop extra charge help	85	0
True	actually deleted old websitenow blogging magicalsongsblogspotcom	64	0
True	well might come	15	0
True	cant keep going never intention run choose rather keep room clean say visitors maybe thats best choice yes wanted embarassed maybe youd feel feel friend wants drop buy say happened morning ive tried everything know else	219	0
True	hi dear call urgnt know whats problem want work problem least tell wating reply	79	0
True	day working dayexcept saturday sunday	37	0
True	good sleep rhythm person establish rhythm body learn use want know	66	0
True	give monkeys wot think certainly mind friend mineall sleep wiv wud annoyin	74	0
True	tomarrow final hearing laptop case cant	39	0
True	said ã¼ dun haf passport smth like dat ã¼ juz send email account	64	0
False	chosen receive â£ award pls call claim number collect award selected receive valued mobile customer	99	0
False	free unlimited hardcore porn direct mobile txt porn get free access hrs per day txt stop msg free	97	0
True	sorry stil fucked last nite went tobed got work	47	0
True	ambrithmaduraimet arun dha marrgeremembr	40	0
True	broke list reasons nobodys town cant tell shes sarcastic faggy	62	0
True	hey tmr maybe meet yck	22	0
True	specialisation work slave labor look month sha cos shakara beggar	65	0
True	supposed couldnt make shes still town though	44	0
True	ok lor	6	0
True	get chicken broth want ramen unless theres know	47	0
True	collect laptop	14	0
True	dear mood cant drive brother drive	34	0
True	tell pa pain de	15	0
True	aight ill hit get cash	22	0
True	dude saw parked car sunroof popped sux	38	0
False	chance win â£ cash every wk txt action tscs custcare	52	0
True	dude like buff wind	19	0
True	ryder unsoldnow gibbs	21	0
False	valued customer pleased advise following recent review mob awarded â£ bonus prize call	86	0
True	good morning plz call sir	25	0
True	sfine anytime best	18	0
False	thanks subscription ringtone uk mobile charged â£ please confirm replying yes reply charged	91	0
True	watching cartoon listening music amp eve go temple amp church	61	0
True	jus finish lunch way home lor tot dun wan stay sch today	56	0
False	good luck draw takes place feb good luck removal send stop customer services	76	0
True	hi spoke maneesha v wed like know satisfied experience reply toll free yes	74	0
True	planned yet going join company jan onlydon know happen	54	0
True	hi dahow todays class	21	0
True	damn make tonight want wait til tomorrow	40	0
True	donno genes something	21	0
True	ã¼ pay first lar da stock comin	31	0
True	cant see join denis mina denis want alone time	46	0
True	sorry got late start way	24	0
True	wake long ago already dunno thing	33	0
True	v skint fancied bevieswaz gona go meet othrs spoon jst bin watchng planet earthsofa v comfey make hav gd night	110	0
True	got fujitsu ibm hp toshiba got lot model say	44	0
True	purity friendship two smiling reading forwarded messageits smiling seeing name gud evng musthu	94	0
True	please say like hi hi hi	24	0
False	urgent awarded complimentary trip eurodisinc trav â£ claim txt dis £	68	0
False	camera awarded sipix digital camera call fromm landline delivery within days	76	0
True	message offer	13	0
True	also da feel yesterday night wait til night dear	48	0
True	hard true much show amp express love someonethat much hurt leave get seperatedéˆ¥â”¾ã€¨ud evening	97	0
True	anything lor decide	19	0
False	burger king wanna play footy top stadium get burger king sept go large super cocacola walk winner	97	0
False	want cock hubbys away need real man satisfy txt wife strings action txt stop end txt rec â£ otbox	97	0
True	around still asleep v	21	0
True	cant believe said many things morning really wanted say good morning love beautiful morning see library later	109	0
False	mila blonde new uk look sex uk guys like fun text mtalk â£ increments	69	0
True	check rooms befor activities	28	0
True	thats necessarily respectful	28	0
True	promise getting soon youll text morning let know made ok	56	0
True	designation software developer may get chennai	46	0
False	bears pic nick tom pete dick fact types try gay chat photo upload call stop texts call	86	0
